,A_Properties,Num,A_SQFT
0,3000 S 28TH ST,50299410,1
1,3102 S 28TH ST,50299400,1
2,"3200 S 28TH ST, UNIT 101",50466800,1090
3,"3200 S 28TH ST, UNIT 102",50466810,1280
4,"3200 S 28TH ST, UNIT 201",50466820,700
5,"3200 S 28TH ST, UNIT 202",50466830,930
6,"3200 S 28TH ST, UNIT 203",50466840,930
7,"3200 S 28TH ST, UNIT 204",50466850,700
8,"3200 S 28TH ST, UNIT 301",50466860,700
9,"3200 S 28TH ST, UNIT 302",50466870,930
10,"3200 S 28TH ST, UNIT 303",50466880,930
11,"3200 S 28TH ST, UNIT 304",50466890,700
12,"3200 S 28TH ST, UNIT 401",50466900,700
13,"3200 S 28TH ST, UNIT 402",50466910,930
14,"3200 S 28TH ST, UNIT 403",50466920,930
15,"3200 S 28TH ST, UNIT 404",50466930,700
16,"3210 S 28TH ST, UNIT 101",50466940,1090
17,"3210 S 28TH ST, UNIT 102",50466950,1210
18,"3210 S 28TH ST, UNIT 103",50466960,375
19,"3210 S 28TH ST, UNIT 201",50466970,700
20,"3210 S 28TH ST, UNIT 202",50466980,930
21,"3210 S 28TH ST, UNIT 203",50466990,930
22,"3210 S 28TH ST, UNIT 204",50467000,700
23,"3210 S 28TH ST, UNIT 301",50467010,700
24,"3210 S 28TH ST, UNIT 302",50467020,930
25,"3210 S 28TH ST, UNIT 303",50467030,930
26,"3210 S 28TH ST, UNIT 304",50467040,700
27,"3210 S 28TH ST, UNIT 401",50467050,700
28,"3210 S 28TH ST, UNIT 402",50467060,930
29,"3210 S 28TH ST, UNIT 403",50467070,930
30,"3210 S 28TH ST, UNIT 404",50467080,700
31,"3220 S 28TH ST, UNIT 101",50467090,900
32,"3220 S 28TH ST, UNIT 102",50467100,715
33,"3220 S 28TH ST, UNIT 201",50467110,690
34,"3220 S 28TH ST, UNIT 202",50467120,910
35,"3220 S 28TH ST, UNIT 203",50467130,720
36,"3220 S 28TH ST, UNIT 204",50467140,695
37,"3220 S 28TH ST, UNIT 301",50467150,690
38,"3220 S 28TH ST, UNIT 302",50467160,910
39,"3220 S 28TH ST, UNIT 303",50467170,720
40,"3220 S 28TH ST, UNIT 304",50467180,695
41,"3220 S 28TH ST, UNIT 401",50467190,690
42,"3220 S 28TH ST, UNIT 402",50467200,910
43,"3220 S 28TH ST, UNIT 403",50467210,720
44,"3220 S 28TH ST, UNIT 404",50467220,695
45,"3222 S 28TH ST, UNIT 101",50467230,910
46,"3222 S 28TH ST, UNIT 102",50467240,900
47,"3222 S 28TH ST, UNIT 201",50467250,695
48,"3222 S 28TH ST, UNIT 202",50467260,720
49,"3222 S 28TH ST, UNIT 203",50467270,910
50,"3222 S 28TH ST, UNIT 204",50467280,690
51,"3222 S 28TH ST, UNIT 301",50467290,695
52,"3222 S 28TH ST, UNIT 302",50467300,720
53,"3222 S 28TH ST, UNIT 303",50467310,910
54,"3222 S 28TH ST, UNIT 304",50467320,690
55,"3222 S 28TH ST, UNIT 401",50467330,695
56,"3222 S 28TH ST, UNIT 402",50467340,720
57,"3222 S 28TH ST, UNIT 403",50467350,910
58,"3222 S 28TH ST, UNIT 404",50467360,690
59,"3230 S 28TH ST, UNIT 101",50467370,900
60,"3230 S 28TH ST, UNIT 102",50467380,715
61,"3230 S 28TH ST, UNIT 201",50467390,690
62,"3230 S 28TH ST, UNIT 202",50467400,910
63,"3230 S 28TH ST, UNIT 203",50467410,720
64,"3230 S 28TH ST, UNIT 204",50467420,695
65,"3230 S 28TH ST, UNIT 301",50467430,690
66,"3230 S 28TH ST, UNIT 302",50467440,910
67,"3230 S 28TH ST, UNIT 303",50467450,720
68,"3230 S 28TH ST, UNIT 304",50467460,695
69,"3230 S 28TH ST, UNIT 401",50467470,690
70,"3230 S 28TH ST, UNIT 402",50467480,910
71,"3230 S 28TH ST, UNIT 403",50467490,720
72,"3230 S 28TH ST, UNIT 404",50467500,695
73,"3232 S 28TH ST, UNIT 101",50467510,910
74,"3232 S 28TH ST, UNIT 102",50467520,900
75,"3232 S 28TH ST, UNIT 201",50467530,695
76,"3232 S 28TH ST, UNIT 202",50467540,720
77,"3232 S 28TH ST, UNIT 203",50467550,910
78,"3232 S 28TH ST, UNIT 204",50467560,690
79,"3232 S 28TH ST, UNIT 301",50467570,695
80,"3232 S 28TH ST, UNIT 302",50467580,720
81,"3232 S 28TH ST, UNIT 303",50467590,910
82,"3232 S 28TH ST, UNIT 304",50467600,690
83,"3232 S 28TH ST, UNIT 401",50467610,695
84,"3232 S 28TH ST, UNIT 402",50467620,720
85,"3232 S 28TH ST, UNIT 403",50467630,910
86,"3232 S 28TH ST, UNIT 404",50467640,690
87,"3240 S 28TH ST, UNIT 101",50467650,1090
88,"3240 S 28TH ST, UNIT 102",50467660,1280
89,"3240 S 28TH ST, UNIT 201",50467670,700
90,"3240 S 28TH ST, UNIT 202",50467680,930
91,"3240 S 28TH ST, UNIT 203",50467690,930
92,"3240 S 28TH ST, UNIT 204",50467700,700
93,"3240 S 28TH ST, UNIT 301",50467710,700
94,"3240 S 28TH ST, UNIT 302",50467720,930
95,"3240 S 28TH ST, UNIT 303",50467730,930
96,"3240 S 28TH ST, UNIT 304",50467740,700
97,"3240 S 28TH ST, UNIT 401",50467750,700
98,"3240 S 28TH ST, UNIT 402",50467760,930
99,"3240 S 28TH ST, UNIT 403",50467770,930
100,"3240 S 28TH ST, UNIT 404",50467780,700
101,"3242 S 28TH ST, UNIT 101",50467790,1090
102,"3242 S 28TH ST, UNIT 102",50467800,1280
103,"3242 S 28TH ST, UNIT 201",50467810,700
104,"3242 S 28TH ST, UNIT 202",50467820,930
105,"3242 S 28TH ST, UNIT 203",50467830,930
106,"3242 S 28TH ST, UNIT 204",50467840,700
107,"3242 S 28TH ST, UNIT 301",50467850,700
108,"3242 S 28TH ST, UNIT 302",50467860,930
109,"3242 S 28TH ST, UNIT 303",50467870,930
110,"3242 S 28TH ST, UNIT 304",50467880,700
111,"3242 S 28TH ST, UNIT 401",50467890,700
112,"3242 S 28TH ST, UNIT 402",50467900,930
113,"3242 S 28TH ST, UNIT 403",50467910,930
114,"3242 S 28TH ST, UNIT 404",50467920,700
115,3300 S 28TH ST,43144000,1
116,"3300 S 28TH ST, UNIT 101",50467930,1170
117,"3300 S 28TH ST, UNIT 102",50467940,875
118,"3300 S 28TH ST, UNIT 201",50467950,675
119,"3300 S 28TH ST, UNIT 202",50467960,890
120,"3300 S 28TH ST, UNIT 203",50467970,890
121,"3300 S 28TH ST, UNIT 204",50467980,675
122,"3300 S 28TH ST, UNIT 301",50467990,675
123,"3300 S 28TH ST, UNIT 302",50468000,690
124,"3300 S 28TH ST, UNIT 303",50468010,890
125,"3300 S 28TH ST, UNIT 304",50468020,675
126,"3300 S 28TH ST, UNIT 401",50468030,675
127,"3300 S 28TH ST, UNIT 402",50468040,890
128,"3300 S 28TH ST, UNIT 403",50468050,890
129,"3300 S 28TH ST, UNIT 404",50468060,675
130,"3310 S 28TH ST, UNIT 101",50468070,695
131,"3310 S 28TH ST, UNIT 102",50468080,960
132,"3310 S 28TH ST, UNIT 201",50468090,705
133,"3310 S 28TH ST, UNIT 202",50468100,715
134,"3310 S 28TH ST, UNIT 203",50468110,875
135,"3310 S 28TH ST, UNIT 204",50468120,690
136,"3310 S 28TH ST, UNIT 301",50468130,705
137,"3310 S 28TH ST, UNIT 302",50468140,715
138,"3310 S 28TH ST, UNIT 303",50468150,875
139,"3310 S 28TH ST, UNIT 304",50468160,690
140,"3310 S 28TH ST, UNIT 401",50468170,705
141,"3310 S 28TH ST, UNIT 402",50468180,715
142,"3310 S 28TH ST, UNIT 403",50468190,875
143,"3310 S 28TH ST, UNIT 404",50468200,690
144,"3312 S 28TH ST, UNIT 101",50468210,960
145,"3312 S 28TH ST, UNIT 102",50468220,960
146,"3312 S 28TH ST, UNIT 201",50468230,705
147,"3312 S 28TH ST, UNIT 202",50468240,875
148,"3312 S 28TH ST, UNIT 203",50468250,715
149,"3312 S 28TH ST, UNIT 204",50468260,690
150,"3312 S 28TH ST, UNIT 301",50468270,705
151,"3312 S 28TH ST, UNIT 302",50468280,875
152,"3312 S 28TH ST, UNIT 303",50468290,715
153,"3312 S 28TH ST, UNIT 304",50468300,690
154,"3312 S 28TH ST, UNIT 401",50468310,705
155,"3312 S 28TH ST, UNIT 402",50468320,875
156,"3312 S 28TH ST, UNIT 403",50468330,715
157,"3312 S 28TH ST, UNIT 404",50468340,690
158,"3314 S 28TH ST, UNIT 101",50468350,1290
159,"3314 S 28TH ST, UNIT 102",50468360,875
160,"3314 S 28TH ST, UNIT 201",50468370,675
161,"3314 S 28TH ST, UNIT 202",50468380,890
162,"3314 S 28TH ST, UNIT 203",50468390,890
163,"3314 S 28TH ST, UNIT 204",50468400,675
164,"3314 S 28TH ST, UNIT 301",50468410,675
165,"3314 S 28TH ST, UNIT 302",50468420,890
166,"3314 S 28TH ST, UNIT 303",50468430,890
167,"3314 S 28TH ST, UNIT 304",50468440,675
168,"3314 S 28TH ST, UNIT 401",50468450,675
169,"3314 S 28TH ST, UNIT 402",50468460,890
170,"3314 S 28TH ST, UNIT 403",50468470,890
171,"3314 S 28TH ST, UNIT 404",50468480,675
172,"3320 S 28TH ST, UNIT 101",50468490,875
173,"3320 S 28TH ST, UNIT 102",50468500,1240
174,"3320 S 28TH ST, UNIT 201",50468510,675
175,"3320 S 28TH ST, UNIT 202",50468520,890
176,"3320 S 28TH ST, UNIT 203",50468530,890
177,"3320 S 28TH ST, UNIT 204",50468540,675
178,"3320 S 28TH ST, UNIT 301",50468550,675
