address,latitude,longitude
3000 S 28TH ST,27.9470163,-82.42834769999999
3102 S 28TH ST,27.9472358,-82.4283586
"3210 S 28TH ST, UNIT 301",34.6887609,33.0129543
"3210 S 28TH ST, UNIT 401",34.6887609,33.0129543
"3222 S 28TH ST, UNIT 301",-33.4512426,149.5436512
"3222 S 28TH ST, UNIT 401",-33.4512426,149.5436512
"3230 S 28TH ST, UNIT 301",-33.4512426,149.5436512
"3230 S 28TH ST, UNIT 401",-33.4512426,149.5436512
"3232 S 28TH ST, UNIT 301",-33.4512426,149.5436512
"3232 S 28TH ST, UNIT 401",-33.4512426,149.5436512
"3242 S 28TH ST, UNIT 301",-33.4512426,149.5436512
"3242 S 28TH ST, UNIT 401",-33.4512426,149.5436512
3300 S 28TH ST,38.839501600000006,-77.10666719789268
"3312 S 28TH ST, UNIT 301",-33.4512426,149.5436512
"3312 S 28TH ST, UNIT 401",-33.4512426,149.5436512
"3314 S 28TH ST, UNIT 301",-33.4512426,149.5436512
"3314 S 28TH ST, UNIT 401",-33.4512426,149.5436512
"3320 S 28TH ST, UNIT 301",34.6676648,32.9090039
"3320 S 28TH ST, UNIT 401",34.6676648,32.9090039
"3330 S 28TH ST, UNIT 301",-33.4512426,149.5436512
"3330 S 28TH ST, UNIT 401",-33.4512426,149.5436512
"3340 S 28TH ST, UNIT 301",-33.4512426,149.5436512
"3340 S 28TH ST, UNIT 401",-33.4512426,149.5436512
"3342 S 28TH ST, UNIT 301",-33.4512426,149.5436512
"3342 S 28TH ST, UNIT 401",-33.4512426,149.5436512
4900 S 28TH ST,38.840103,-77.105737
4902 S 28TH ST,38.84011690427164,-77.10571533860839
4903 S 28TH ST,38.840123856407466,-77.10570450791259
4904 S 28TH ST,38.840130808543286,-77.10569367721678
4906 S 28TH ST,38.840144712814926,-77.10567201582516
4908 S 28TH ST,38.840158617086566,-77.10565035443355
4910 S 28TH ST,38.84017252135821,-77.10562869304195
4914 S 28TH ST,38.84020047943541,-77.10558547071356
4916 S 28TH ST,38.840215276088195,-77.10556440881139
4901 S 29TH RD,37.539909,-93.58573
4903 S 29TH RD,37.53986847633178,-93.58555524168081
4908 S 29TH RD,37.5394712765107,-93.58549154127145
4909 S 29TH RD,37.539381688381255,-93.58549597145368
4910 S 29TH RD,37.53929210025181,-93.5855004016359
4911 S 29TH RD,37.53920251212236,-93.58550483181813
4912 S 29TH RD,37.53911292399291,-93.58550926200036
4916 S 29TH RD,37.53875457147512,-93.58552698272925
4918 S 29TH RD,37.53857539521622,-93.58553584309371
4920 S 29TH RD,37.538396218957324,-93.58554470345815
4922 S 29TH RD,37.53821704269843,-93.5855535638226
4901 S 30TH ST,42.95569145,-87.95245127511535
4909 S 30TH ST,36.34364230371522,-97.83684495477277
4911 S 30TH ST,36.34362541777163,-97.8368452968903
1101 E ABINGDON DR,38.8175143,-77.0440593
1103 E ABINGDON DR,38.8175143,-77.0440593
1105 E ABINGDON DR,38.8175143,-77.0440593
1107 E ABINGDON DR,38.8175143,-77.0440593
1109 E ABINGDON DR,38.8175143,-77.0440593
1111 E ABINGDON DR,38.8175143,-77.0440593
1113 E ABINGDON DR,38.8175143,-77.0440593
1115 E ABINGDON DR,38.8175143,-77.0440593
1117 E ABINGDON DR,38.8175143,-77.0440593
1119 E ABINGDON DR,38.8175143,-77.0440593
1121 E ABINGDON DR,38.8175143,-77.0440593
1123 E ABINGDON DR,38.8175143,-77.0440593
1201 E ABINGDON DR,38.816936,-77.043785
"1251 E ABINGDON DR, UNIT 1103",38.8200927,-77.0437227
"1301 E ABINGDON DR, UNIT 1",38.8175143,-77.0440593
"1301 E ABINGDON DR, UNIT 2",38.8175143,-77.0440593
"1301 E ABINGDON DR, UNIT 3",38.8175143,-77.0440593
"1301 E ABINGDON DR, UNIT 4",38.8175143,-77.0440593
"1301 E ABINGDON DR, UNIT 5",38.8175143,-77.0440593
"1301 E ABINGDON DR, UNIT 6",38.8175143,-77.0440593
"1303 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1303 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1303 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1303 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1305 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1305 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1305 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1305 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1307 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1307 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1307 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1307 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1309 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1309 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1309 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1309 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1311 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1311 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1311 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1311 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1313 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1313 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1313 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1313 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1315 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1315 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1315 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1315 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1315 E ABINGDON DR, UNIT 5",38.8200927,-77.0437227
"1315 E ABINGDON DR, UNIT 6",38.8200927,-77.0437227
"1317 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1317 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1317 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1317 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1317 E ABINGDON DR, UNIT 5",38.8200927,-77.0437227
"1317 E ABINGDON DR, UNIT 6",38.8200927,-77.0437227
"1401 E ABINGDON DR, UNIT 1",38.8175143,-77.0440593
"1401 E ABINGDON DR, UNIT 2",38.8175143,-77.0440593
"1401 E ABINGDON DR, UNIT 3",38.8175143,-77.0440593
"1401 E ABINGDON DR, UNIT 4",38.8175143,-77.0440593
"1401 E ABINGDON DR, UNIT 5",38.8175143,-77.0440593
"1401 E ABINGDON DR, UNIT 6",38.8175143,-77.0440593
"1403 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1403 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1403 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1403 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1403 E ABINGDON DR, UNIT 5",38.8200927,-77.0437227
"1403 E ABINGDON DR, UNIT 6",38.8200927,-77.0437227
"1405 E ABINGDON DR, UNIT 1",38.8175143,-77.0440593
"1405 E ABINGDON DR, UNIT 2",38.8175143,-77.0440593
"1405 E ABINGDON DR, UNIT 3",38.8175143,-77.0440593
"1405 E ABINGDON DR, UNIT 4",38.8175143,-77.0440593
"1405 E ABINGDON DR, UNIT 5",38.8175143,-77.0440593
"1405 E ABINGDON DR, UNIT 6",38.8175143,-77.0440593
"1407 E ABINGDON DR, UNIT 1",38.8175143,-77.0440593
"1407 E ABINGDON DR, UNIT 2",38.8175143,-77.0440593
"1407 E ABINGDON DR, UNIT 3",38.8175143,-77.0440593
"1407 E ABINGDON DR, UNIT 4",38.8175143,-77.0440593
"1407 E ABINGDON DR, UNIT 5",38.8175143,-77.0440593
"1407 E ABINGDON DR, UNIT 6",38.8175143,-77.0440593
"1409 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1409 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1409 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1409 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1411 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1411 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1411 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1411 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1413 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1413 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1413 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1413 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1415 E ABINGDON DR, UNIT 1",38.8200927,-77.0437227
"1415 E ABINGDON DR, UNIT 2",38.8200927,-77.0437227
"1415 E ABINGDON DR, UNIT 3",38.8200927,-77.0437227
"1415 E ABINGDON DR, UNIT 4",38.8200927,-77.0437227
"1417 E ABINGDON DR, UNIT 1",38.8175143,-77.0440593
"1417 E ABINGDON DR, UNIT 2",38.8175143,-77.0440593
"1417 E ABINGDON DR, UNIT 3",38.8175143,-77.0440593
"1417 E ABINGDON DR, UNIT 4",38.8175143,-77.0440593
713 W ABINGDON DR,38.817711349999996,-77.04527202738112
1100 W ABINGDON DR,38.816718050000006,-77.04539566804054
1102 W ABINGDON DR,38.816718050000006,-77.04532916721183
1104 W ABINGDON DR,38.81672485,-77.04527573330142
1106 W ABINGDON DR,38.81673945,-77.04523294943044
1108 W ABINGDON DR,38.8171044,-77.04530798439885
1110 W ABINGDON DR,38.817093299999996,-77.04536524880277
1112 W ABINGDON DR,38.81707375,-77.04541150182739
1200 W ABINGDON DR,38.8177194,-77.04485885003513
1202 W ABINGDON DR,38.8177663,-77.04485428151538
1204 W ABINGDON DR,38.817805199999995,-77.04484503010752
1206 W ABINGDON DR,38.8178439,-77.04484204139806
1208 W ABINGDON DR,38.8178855,-77.0448217
1210 W ABINGDON DR,38.8180445,-77.04478270274085
1212 W ABINGDON DR,38.8180512,-77.04483279971475
1214 W ABINGDON DR,38.818066599999995,-77.0448798925293
1216 W ABINGDON DR,38.8180937,-77.0449233862969
1218 W ABINGDON DR,38.8183533,-77.04480592186667
1220 W ABINGDON DR,38.8183923,-77.0447966397251
1222 W ABINGDON DR,38.818438549999996,-77.04480099593752
1420 W ABINGDON DR,38.82058835,-77.0448889286451
1600 W ABINGDON DR,38.8168686,-77.0450933
"1602 W ABINGDON DR, UNIT 101",38.8168686,-77.0450933
"1602 W ABINGDON DR, UNIT 102",38.8168686,-77.0450933
"1602 W ABINGDON DR, UNIT 103",38.8168686,-77.0450933
