Num,Unnamed: 0,A_Properties,A_SQFT,id,Zip5,Zip4
50299410,0,3000 S 28TH ST,1,50299410,,
50299400,1,3102 S 28TH ST,1,50299400,22302,1308
50466800,2,"3200 S 28TH ST, UNIT 101",1090,50466800,22302,1324
50466810,3,"3200 S 28TH ST, UNIT 102",1280,50466810,22302,1324
50466820,4,"3200 S 28TH ST, UNIT 201",700,50466820,22302,1324
50466830,5,"3200 S 28TH ST, UNIT 202",930,50466830,22302,1324
50466840,6,"3200 S 28TH ST, UNIT 203",930,50466840,22302,1324
50466850,7,"3200 S 28TH ST, UNIT 204",700,50466850,22302,1324
50466860,8,"3200 S 28TH ST, UNIT 301",700,50466860,22302,1324
50466870,9,"3200 S 28TH ST, UNIT 302",930,50466870,22302,1324
50466880,10,"3200 S 28TH ST, UNIT 303",930,50466880,22302,1324
50466890,11,"3200 S 28TH ST, UNIT 304",700,50466890,22302,1324
50466900,12,"3200 S 28TH ST, UNIT 401",700,50466900,22302,1324
50466910,13,"3200 S 28TH ST, UNIT 402",930,50466910,22302,1324
50466920,14,"3200 S 28TH ST, UNIT 403",930,50466920,22302,1324
50466930,15,"3200 S 28TH ST, UNIT 404",700,50466930,22302,1324
50466940,16,"3210 S 28TH ST, UNIT 101",1090,50466940,22302,1326
50466950,17,"3210 S 28TH ST, UNIT 102",1210,50466950,22302,1326
50466960,18,"3210 S 28TH ST, UNIT 103",375,50466960,22302,1326
50466970,19,"3210 S 28TH ST, UNIT 201",700,50466970,22302,1326
50466980,20,"3210 S 28TH ST, UNIT 202",930,50466980,22302,1326
50466990,21,"3210 S 28TH ST, UNIT 203",930,50466990,22302,1326
50467000,22,"3210 S 28TH ST, UNIT 204",700,50467000,22302,1326
50467010,23,"3210 S 28TH ST, UNIT 301",700,50467010,22302,1326
50467020,24,"3210 S 28TH ST, UNIT 302",930,50467020,22302,1326
50467030,25,"3210 S 28TH ST, UNIT 303",930,50467030,22302,1326
50467040,26,"3210 S 28TH ST, UNIT 304",700,50467040,22302,1326
50467050,27,"3210 S 28TH ST, UNIT 401",700,50467050,22302,1326
50467060,28,"3210 S 28TH ST, UNIT 402",930,50467060,22302,1326
50467070,29,"3210 S 28TH ST, UNIT 403",930,50467070,22302,1326
50467080,30,"3210 S 28TH ST, UNIT 404",700,50467080,22302,1326
50467090,31,"3220 S 28TH ST, UNIT 101",900,50467090,22302,1327
50467100,32,"3220 S 28TH ST, UNIT 102",715,50467100,22302,1327
50467110,33,"3220 S 28TH ST, UNIT 201",690,50467110,22302,1327
50467120,34,"3220 S 28TH ST, UNIT 202",910,50467120,22302,1327
50467130,35,"3220 S 28TH ST, UNIT 203",720,50467130,22302,1327
50467140,36,"3220 S 28TH ST, UNIT 204",695,50467140,22302,1327
50467150,37,"3220 S 28TH ST, UNIT 301",690,50467150,22302,1327
50467160,38,"3220 S 28TH ST, UNIT 302",910,50467160,22302,1327
50467170,39,"3220 S 28TH ST, UNIT 303",720,50467170,22302,1327
50467180,40,"3220 S 28TH ST, UNIT 304",695,50467180,22302,1327
50467190,41,"3220 S 28TH ST, UNIT 401",690,50467190,22302,1327
50467200,42,"3220 S 28TH ST, UNIT 402",910,50467200,22302,1327
50467210,43,"3220 S 28TH ST, UNIT 403",720,50467210,22302,1327
50467220,44,"3220 S 28TH ST, UNIT 404",695,50467220,22302,1327
50467230,45,"3222 S 28TH ST, UNIT 101",910,50467230,22302,1328
50467240,46,"3222 S 28TH ST, UNIT 102",900,50467240,22302,1328
50467250,47,"3222 S 28TH ST, UNIT 201",695,50467250,22302,1328
50467260,48,"3222 S 28TH ST, UNIT 202",720,50467260,22302,1328
50467270,49,"3222 S 28TH ST, UNIT 203",910,50467270,22302,1328
50467280,50,"3222 S 28TH ST, UNIT 204",690,50467280,22302,1328
50467290,51,"3222 S 28TH ST, UNIT 301",695,50467290,22302,1328
50467300,52,"3222 S 28TH ST, UNIT 302",720,50467300,22302,1328
50467310,53,"3222 S 28TH ST, UNIT 303",910,50467310,22302,1328
50467320,54,"3222 S 28TH ST, UNIT 304",690,50467320,22302,1328
50467330,55,"3222 S 28TH ST, UNIT 401",695,50467330,22302,1328
50467340,56,"3222 S 28TH ST, UNIT 402",720,50467340,22302,1328
50467350,57,"3222 S 28TH ST, UNIT 403",910,50467350,22302,1328
50467360,58,"3222 S 28TH ST, UNIT 404",690,50467360,22302,1328
50467370,59,"3230 S 28TH ST, UNIT 101",900,50467370,22302,1329
50467380,60,"3230 S 28TH ST, UNIT 102",715,50467380,22302,1329
50467390,61,"3230 S 28TH ST, UNIT 201",690,50467390,22302,1329
50467400,62,"3230 S 28TH ST, UNIT 202",910,50467400,22302,1329
50467410,63,"3230 S 28TH ST, UNIT 203",720,50467410,22302,1329
50467420,64,"3230 S 28TH ST, UNIT 204",695,50467420,22302,1329
50467430,65,"3230 S 28TH ST, UNIT 301",690,50467430,22302,1329
50467440,66,"3230 S 28TH ST, UNIT 302",910,50467440,22302,1329
50467450,67,"3230 S 28TH ST, UNIT 303",720,50467450,22302,1329
50467460,68,"3230 S 28TH ST, UNIT 304",695,50467460,22302,1329
50467470,69,"3230 S 28TH ST, UNIT 401",690,50467470,22302,1329
50467480,70,"3230 S 28TH ST, UNIT 402",910,50467480,22302,1329
50467490,71,"3230 S 28TH ST, UNIT 403",720,50467490,22302,1329
50467500,72,"3230 S 28TH ST, UNIT 404",695,50467500,22302,1329
50467510,73,"3232 S 28TH ST, UNIT 101",910,50467510,22302,1330
50467520,74,"3232 S 28TH ST, UNIT 102",900,50467520,22302,1330
50467530,75,"3232 S 28TH ST, UNIT 201",695,50467530,22302,1330
50467540,76,"3232 S 28TH ST, UNIT 202",720,50467540,22302,1330
50467550,77,"3232 S 28TH ST, UNIT 203",910,50467550,22302,1330
50467560,78,"3232 S 28TH ST, UNIT 204",690,50467560,22302,1330
50467570,79,"3232 S 28TH ST, UNIT 301",695,50467570,22302,1330
50467580,80,"3232 S 28TH ST, UNIT 302",720,50467580,22302,1330
50467590,81,"3232 S 28TH ST, UNIT 303",910,50467590,22302,1330
50467600,82,"3232 S 28TH ST, UNIT 304",690,50467600,22302,1330
50467610,83,"3232 S 28TH ST, UNIT 401",695,50467610,22302,1330
50467620,84,"3232 S 28TH ST, UNIT 402",720,50467620,22302,1330
50467630,85,"3232 S 28TH ST, UNIT 403",910,50467630,22302,1330
50467640,86,"3232 S 28TH ST, UNIT 404",690,50467640,22302,1330
50467650,87,"3240 S 28TH ST, UNIT 101",1090,50467650,22302,1331
50467660,88,"3240 S 28TH ST, UNIT 102",1280,50467660,22302,1331
50467670,89,"3240 S 28TH ST, UNIT 201",700,50467670,22302,1331
50467680,90,"3240 S 28TH ST, UNIT 202",930,50467680,22302,1331
50467690,91,"3240 S 28TH ST, UNIT 203",930,50467690,22302,1331
50467700,92,"3240 S 28TH ST, UNIT 204",700,50467700,22302,1331
50467710,93,"3240 S 28TH ST, UNIT 301",700,50467710,22302,1331
50467720,94,"3240 S 28TH ST, UNIT 302",930,50467720,22302,1331
50467730,95,"3240 S 28TH ST, UNIT 303",930,50467730,22302,1331
50467740,96,"3240 S 28TH ST, UNIT 304",700,50467740,22302,1331
50467750,97,"3240 S 28TH ST, UNIT 401",700,50467750,22302,1331
50467760,98,"3240 S 28TH ST, UNIT 402",930,50467760,22302,1331
50467770,99,"3240 S 28TH ST, UNIT 403",930,50467770,22302,1331
50467780,100,"3240 S 28TH ST, UNIT 404",700,50467780,22302,1331
50467790,101,"3242 S 28TH ST, UNIT 101",1090,50467790,22302,1332
50467800,102,"3242 S 28TH ST, UNIT 102",1280,50467800,22302,1332
50467810,103,"3242 S 28TH ST, UNIT 201",700,50467810,22302,1332
50467820,104,"3242 S 28TH ST, UNIT 202",930,50467820,22302,1332
50467830,105,"3242 S 28TH ST, UNIT 203",930,50467830,22302,1332
50467840,106,"3242 S 28TH ST, UNIT 204",700,50467840,22302,1332
50467850,107,"3242 S 28TH ST, UNIT 301",700,50467850,22302,1332
50467860,108,"3242 S 28TH ST, UNIT 302",930,50467860,22302,1332
50467870,109,"3242 S 28TH ST, UNIT 303",930,50467870,22302,1332
50467880,110,"3242 S 28TH ST, UNIT 304",700,50467880,22302,1332
50467890,111,"3242 S 28TH ST, UNIT 401",700,50467890,22302,1332
50467900,112,"3242 S 28TH ST, UNIT 402",930,50467900,22302,1332
50467910,113,"3242 S 28TH ST, UNIT 403",930,50467910,22302,1332
50467920,114,"3242 S 28TH ST, UNIT 404",700,50467920,22302,1332
43144000,115,3300 S 28TH ST,1,43144000,22302,1311
50467930,116,"3300 S 28TH ST, UNIT 101",1170,50467930,22302,1333
50467940,117,"3300 S 28TH ST, UNIT 102",875,50467940,22302,1333
50467950,118,"3300 S 28TH ST, UNIT 201",675,50467950,22302,1333
50467960,119,"3300 S 28TH ST, UNIT 202",890,50467960,22302,1333
50467970,120,"3300 S 28TH ST, UNIT 203",890,50467970,22302,1333
50467980,121,"3300 S 28TH ST, UNIT 204",675,50467980,22302,1333
50467990,122,"3300 S 28TH ST, UNIT 301",675,50467990,22302,1333
50468000,123,"3300 S 28TH ST, UNIT 302",690,50468000,22302,1333
50468010,124,"3300 S 28TH ST, UNIT 303",890,50468010,22302,1333
50468020,125,"3300 S 28TH ST, UNIT 304",675,50468020,22302,1333
50468030,126,"3300 S 28TH ST, UNIT 401",675,50468030,22302,1333
50468040,127,"3300 S 28TH ST, UNIT 402",890,50468040,22302,1333
50468050,128,"3300 S 28TH ST, UNIT 403",890,50468050,22302,1333
50468060,129,"3300 S 28TH ST, UNIT 404",675,50468060,22302,1333
